word_one	word_two	spearman_correlation	cosine_similarity
cane	orso	0.12154782323297411	0.11197029786050172
cavallo	orso	0.15442167562234563	0.133554328437955
orso	scimmia	0.2612623407730037	0.12906796239434148
gufo	orso	0.25088845958374817	0.1277624263811139
coniglio	orso	0.2028541204279873	0.10758029885787446
gabbiano	orso	0.22535759867131272	0.10421473539759796
orso	passero	0.19738054586893605	0.08407473521089193
elefante	orso	0.2741195303366931	0.13660694270807328
gatto	orso	0.18030345083385652	0.127627761091212
leone	orso	0.20449632269779783	0.14109558987146986
maiale	orso	0.15710280863903112	0.09038674105772238
mucca	orso	0.23757403863706722	0.10782089446633347
orso	serpente	0.24095015141985363	0.12839244907487124
orso	tigre	0.28213440893938196	0.15253956216809672
orso	topo	0.25468117710999016	0.12551435855548498
orso	poltrona	0.15108553389657517	0.09304674629415888
letto	orso	-0.07451392712678549	0.03463276460451137
orso	scopa	0.17791541339511222	0.09052782394574721
orso	sedia	0.12180202248846274	0.09156588378595842
camicia	orso	0.145571704185066	0.09608009311199983
armadio	orso	0.06684990510470183	0.05490253919999655
orso	pettine	0.15816635913688362	0.07551684626853916
giacca	orso	0.13026000890679304	0.09437757941154801
orso	pennello	0.10913337996618734	0.06725379075615168
orso	spada	0.19349446991848335	0.12488247173806233
gomma	orso	0.06180689394794788	0.06790164236396523
orso	pastello	0.14919946284289093	0.08304697774331016
orso	penna	0.1560214719291422	0.10049315873617337
orso	quaderno	0.1955058146043061	0.08877566968606865
orso	tenda	0.1407039584194584	0.09417088282114705
orso	vaso	0.11327695343636236	0.07999194426530898
cane	cavallo	0.05589476593645242	0.12668613584257915
cane	scimmia	0.1206668725775118	0.10727999585035719
cane	gufo	0.07601158482642081	0.07160046756656968
cane	coniglio	0.14102056906949187	0.130498486859145
cane	gabbiano	0.07066455854789688	0.0698170620148223
cane	passero	0.061253678478994496	0.05574848198366411
cane	elefante	0.10086876467952319	0.08849889085586105
cane	gatto	0.2619095259469314	0.2440060836046105
cane	leone	0.07039330569080146	0.10933147873652238
cane	maiale	0.08570296179279512	0.09485250717091798
cane	mucca	0.13062478223547455	0.11264605378407477
