Word 1	Word 2	pearson_correlation	cosine_similarity
cane	orso	0.552105776953035	0.5552992224693298
cavallo	orso	0.4032177286126581	0.4089309573173523
orso	scimmia	0.4037500184047777	0.4067878723144531
gufo	orso	0.41153062263176093	0.4145154356956482
coniglio	orso	0.5092028557756259	0.5110315680503845
gabbiano	orso	0.3479984483326165	0.3480742573738098
orso	passero	0.2892236062764083	0.2947820723056793
elefante	orso	0.6300238054330349	0.632981538772583
gatto	orso	0.5532795674719158	0.5530112385749817
leone	orso	0.5896586682382787	0.5911744832992554
maiale	orso	0.42481441740386605	0.4230861961841583
mucca	orso	0.39002685487785443	0.39560672640800476
orso	serpente	0.47446429841756127	0.47284671664237976
orso	tigre	0.5417604811529719	0.5448799133300781
orso	topo	0.506980045521786	0.5079838037490845
orso	poltrona	0.17549881356797808	0.17265833914279938
letto	orso	0.14425225879616058	0.1415209174156189
orso	scopa	0.157280783586374	0.15643379092216492
orso	sedia	0.17527868105140243	0.17188219726085663
camicia	orso	0.19281273490229486	0.18586964905261993
armadio	orso	0.26955815484809564	0.26800623536109924
orso	pettine	0.09083329334915514	0.1027355045080185
giacca	orso	0.21298713326856322	0.20686721801757812
orso	pennello	0.13380197422146453	0.1385849267244339
orso	spada	0.2270974469784835	0.22917905449867249
gomma	orso	0.21304510599589102	0.21522743999958038
orso	pastello	0.1617831329871766	0.15868474543094635
orso	penna	0.16418987422508674	0.1683618128299713
orso	quaderno	0.14399141467653873	0.15044191479682922
orso	tenda	0.2481464676412028	0.24333029985427856
orso	vaso	0.1454462105625128	0.14521069824695587
cane	cavallo	0.5025144123728995	0.50823575258255
cane	scimmia	0.3811925318915911	0.3847842514514923
cane	gufo	0.3810679535942939	0.3846445381641388
cane	coniglio	0.5876661950151618	0.5891689658164978
cane	gabbiano	0.36840285206359197	0.36819642782211304
cane	passero	0.3049260158777738	0.31134405732154846
cane	elefante	0.4833870014544428	0.48898056149482727
cane	gatto	0.8133078795959674	0.8115218281745911
cane	leone	0.47551257286621657	0.47770556807518005
cane	maiale	0.48481483258209834	0.48228195309638977
cane	mucca	0.43408210075200776	0.440347284078598
cane	serpente	0.4431466638073227	0.44109946489334106
cane	tigre	0.4686071442208968	0.4728523790836334
cane	topo	0.5729462527303053	0.5735427737236023
cane	poltrona	0.20966891914539956	0.2060967981815338
cane	letto	0.26073955768550566	0.2569303512573242
cane	scopa	0.24833794343537857	0.24686580896377563
cane	sedia	0.19701961798731818	0.19285736978054047
camicia	cane	0.20743989749105157	0.19919835031032562
armadio	cane	0.21394247309125752	0.21220427751541138
cane	pettine	0.18238890353895693	0.19472037255764008
cane	giacca	0.21096922382733704	0.20377568900585175
cane	pennello	0.2692876682172064	0.2739417850971222
cane	spada	0.1862519901451243	0.188773050904274
cane	gomma	0.23615679606496753	0.23848719894886017
cane	pastello	0.18038973394197275	0.17659692466259003
cane	penna	0.18918697230355527	0.19385990500450134
cane	quaderno	0.229912524580534	0.2367124706506729
cane	tenda	0.23079764552172125	0.22516082227230072
cane	vaso	0.27533343919777487	0.27441859245300293
cavallo	scimmia	0.2863792306223358	0.2920076549053192
cavallo	gufo	0.2637799805765593	0.2696375250816345
cavallo	coniglio	0.4654693774717667	0.46760067343711853
cavallo	gabbiano	0.22809380095141954	0.22801873087882996
cavallo	passero	0.200573419698344	0.21136215329170227
cavallo	elefante	0.42446256488159617	0.43399912118911743
cavallo	gatto	0.41509809830080335	0.4138602018356323
cavallo	leone	0.43642934131718436	0.4389757812023163
cavallo	maiale	0.4270583063431545	0.4224039316177368
cavallo	mucca	0.3861759950560779	0.3965669274330139
cavallo	serpente	0.40041539833647316	0.3964604437351227
cavallo	tigre	0.40555987691654743	0.41209104657173157
cavallo	topo	0.4327895726350085	0.4335339367389679
cavallo	poltrona	0.19578699879154154	0.19005993008613586
cavallo	letto	0.18359999070544977	0.17799006402492523
cavallo	scopa	0.2901046412092228	0.28680121898651123
cavallo	sedia	0.24111553603818886	0.2340041548013687
camicia	cavallo	0.30760502834619485	0.2938922643661499
armadio	cavallo	0.16915268666722458	0.16636578738689423
cavallo	pettine	0.2267578620510511	0.24464663863182068
cavallo	giacca	0.2386758045949518	0.22731953859329224
cavallo	pennello	0.24271384229910353	0.24940450489521027
cavallo	spada	0.2791024797887961	0.28140363097190857
cavallo	gomma	0.2248935002093017	0.22781898081302643
cavallo	pastello	0.16992758565553248	0.16393467783927917
cavallo	penna	0.1378953458239172	0.1449865698814392
cavallo	quaderno	0.16023680695285009	0.17105638980865479
cavallo	tenda	0.26871517519790994	0.25943583250045776
cavallo	vaso	0.17410491181922955	0.1728663146495819
gufo	scimmia	0.3642846312797295	0.36700060963630676
coniglio	scimmia	0.44519182563118365	0.4470421373844147
gabbiano	scimmia	0.328977279125719	0.329228013753891
passero	scimmia	0.29700451925021315	0.3014507591724396
elefante	scimmia	0.5236339882931013	0.5265964269638062
gatto	scimmia	0.4162245220548225	0.416544646024704
leone	scimmia	0.39003032412175703	0.3921164274215698
maiale	scimmia	0.362087316045677	0.36096906661987305
mucca	scimmia	0.4730628092291602	0.4765303432941437
scimmia	serpente	0.4111892902394684	0.41018587350845337
scimmia	tigre	0.5766479309678023	0.578925371170044
scimmia	topo	0.47625011751348234	0.47733378410339355
poltrona	scimmia	0.3138556292259413	0.3112052083015442
letto	scimmia	0.1433008217359371	0.1410842388868332
scimmia	scopa	0.30126754815530143	0.30032065510749817
scimmia	sedia	0.3516663760331248	0.3484136164188385
camicia	scimmia	0.2973813018472405	0.29109081625938416
armadio	scimmia	0.16821586746117517	0.16726192831993103
pettine	scimmia	0.10318143766768341	0.11268382519483566
giacca	scimmia	0.33024532638680215	0.3246835172176361
pennello	scimmia	0.163880584808436	0.167723149061203
scimmia	spada	0.25341930874446605	0.2551479935646057
gomma	scimmia	0.3173503764413506	0.31893301010131836
pastello	scimmia	0.05853742584050992	0.05629068613052368
penna	scimmia	0.23714309613522494	0.24032434821128845
quaderno	scimmia	0.06921182840137707	0.0750335082411766
scimmia	tenda	0.29198527409084934	0.2878950238227844
scimmia	vaso	0.1496043833255086	0.1494627147912979
coniglio	gufo	0.4980034397381465	0.49966439604759216
