word_one	word_two	raw_cooc	log10_cooc
camicia	gabbiano	2	0.3010299956639812
armadio	gabbiano	1	0.0
gabbiano	pettine	0	0
gabbiano	giacca	0	0
gabbiano	pennello	0	0
gabbiano	spada	0	0
gabbiano	gomma	2	0.3010299956639812
gabbiano	pastello	0	0
gabbiano	penna	0	0
gabbiano	quaderno	0	0
gabbiano	tenda	1	0.0
gabbiano	vaso	1	0.0
elefante	passero	0	0
gatto	passero	3	0.47712125471966244
leone	passero	4	0.6020599913279624
maiale	passero	0	0
mucca	passero	0	0
passero	serpente	7	0.8450980400142568
passero	tigre	0	0
passero	topo	6	0.7781512503836436
passero	poltrona	0	0
letto	passero	0	0
passero	scopa	0	0
passero	sedia	0	0
camicia	passero	0	0
armadio	passero	0	0
passero	pettine	0	0
giacca	passero	0	0
passero	pennello	0	0
passero	spada	0	0
gomma	passero	0	0
passero	pastello	0	0
passero	penna	1	0.0
passero	quaderno	0	0
passero	tenda	0	0
passero	vaso	0	0
elefante	gatto	26	1.414973347970818
elefante	leone	66	1.8195439355418688
elefante	maiale	16	1.2041199826559248
elefante	mucca	4	0.6020599913279624
elefante	serpente	15	1.1760912590556813
elefante	tigre	119	2.075546961392531
elefante	topo	26	1.414973347970818
elefante	poltrona	1	0.0
elefante	letto	12	1.0791812460476249
elefante	scopa	0	0
elefante	sedia	0	0
camicia	elefante	1	0.0
armadio	elefante	2	0.3010299956639812
elefante	pettine	1	0.0
elefante	giacca	1	0.0
elefante	pennello	1	0.0
elefante	spada	19	1.2787536009528289
elefante	gomma	0	0
elefante	pastello	0	0
elefante	penna	0	0
elefante	quaderno	0	0
elefante	tenda	3	0.47712125471966244
elefante	vaso	0	0
gatto	leone	56	1.7481880270062005
gatto	maiale	17	1.2304489213782739
gatto	mucca	13	1.1139433523068367
gatto	serpente	58	1.7634279935629373
gatto	tigre	153	2.184691430817599
gatto	topo	356	2.5514499979728753
gatto	poltrona	8	0.9030899869919435
gatto	letto	62	1.792391689498254
gatto	scopa	30	1.4771212547196624
gatto	sedia	18	1.255272505103306
camicia	gatto	5	0.6989700043360189
armadio	gatto	12	1.0791812460476249
gatto	pettine	4	0.6020599913279624
gatto	giacca	5	0.6989700043360189
gatto	pennello	2	0.3010299956639812
gatto	spada	29	1.462397997898956
gatto	gomma	2	0.3010299956639812
gatto	pastello	1	0.0
gatto	penna	4	0.6020599913279624
gatto	quaderno	0	0
gatto	tenda	0	0
gatto	vaso	10	1.0
leone	maiale	4	0.6020599913279624
leone	mucca	3	0.47712125471966244
leone	serpente	74	1.8692317197309762
leone	tigre	126	2.100370545117563
leone	topo	15	1.1760912590556813
leone	poltrona	1	0.0
leone	letto	10	1.0
leone	scopa	1	0.0
leone	sedia	5	0.6989700043360189
camicia	leone	2	0.3010299956639812
armadio	leone	17	1.2304489213782739
leone	pettine	0	0
giacca	leone	0	0
leone	pennello	0	0
leone	spada	99	1.99563519459755
gomma	leone	0	0
leone	pastello	0	0
leone	penna	5	0.6989700043360189
leone	quaderno	0	0
leone	tenda	15	1.1760912590556813
leone	vaso	27	1.4313637641589874
maiale	mucca	20	1.3010299956639813
maiale	serpente	11	1.041392685158225
maiale	tigre	5	0.6989700043360189
maiale	topo	10	1.0
maiale	poltrona	2	0.3010299956639812
letto	maiale	7	0.8450980400142568
maiale	scopa	1	0.0
maiale	sedia	2	0.3010299956639812
camicia	maiale	2	0.3010299956639812
armadio	maiale	1	0.0
maiale	pettine	0	0
giacca	maiale	4	0.6020599913279624
maiale	pennello	0	0
maiale	spada	6	0.7781512503836436
gomma	maiale	5	0.6989700043360189
maiale	pastello	0	0
maiale	penna	1	0.0
maiale	quaderno	2	0.3010299956639812
maiale	tenda	0	0
maiale	vaso	2	0.3010299956639812
mucca	serpente	7	0.8450980400142568
mucca	tigre	2	0.3010299956639812
mucca	topo	3	0.47712125471966244
mucca	poltrona	0	0
letto	mucca	6	0.7781512503836436
mucca	scopa	0	0
mucca	sedia	2	0.3010299956639812
camicia	mucca	4	0.6020599913279624
armadio	mucca	0	0
mucca	pettine	0	0
giacca	mucca	1	0.0
mucca	pennello	0	0
mucca	spada	1	0.0
gomma	mucca	0	0
mucca	pastello	0	0
mucca	penna	0	0
mucca	quaderno	0	0
mucca	tenda	3	0.47712125471966244
mucca	vaso	0	0
serpente	tigre	37	1.568201724066995
serpente	topo	37	1.568201724066995
poltrona	serpente	2	0.3010299956639812
letto	serpente	34	1.5314789170422551
scopa	serpente	0	0
sedia	serpente	14	1.146128035678238
camicia	serpente	3	0.47712125471966244
armadio	serpente	0	0
pettine	serpente	1	0.0
giacca	serpente	5	0.6989700043360189
pennello	serpente	0	0
serpente	spada	63	1.7993405494535817
gomma	serpente	10	1.0
pastello	serpente	0	0
penna	serpente	0	0
quaderno	serpente	1	0.0
serpente	tenda	9	0.9542425094393249
serpente	vaso	12	1.0791812460476249
tigre	topo	7	0.8450980400142568
poltrona	tigre	0	0
letto	tigre	9	0.9542425094393249
scopa	tigre	0	0
sedia	tigre	1	0.0
camicia	tigre	1	0.0
armadio	tigre	0	0
pettine	tigre	0	0
giacca	tigre	1	0.0
pennello	tigre	0	0
spada	tigre	24	1.380211241711606
gomma	tigre	1	0.0
pastello	tigre	1	0.0
penna	tigre	0	0
quaderno	tigre	0	0
tenda	tigre	1	0.0
tigre	vaso	2	0.3010299956639812
poltrona	topo	0	0
letto	topo	32	1.505149978319906
scopa	topo	3	0.47712125471966244
sedia	topo	4	0.6020599913279624
camicia	topo	0	0
armadio	topo	3	0.47712125471966244
pettine	topo	0	0
giacca	topo	0	0
pennello	topo	6	0.7781512503836436
spada	topo	1	0.0
gomma	topo	4	0.6020599913279624
pastello	topo	1	0.0
penna	topo	0	0
quaderno	topo	1	0.0
tenda	topo	2	0.3010299956639812
topo	vaso	9	0.9542425094393249
letto	poltrona	57	1.7558748556724915
poltrona	scopa	4	0.6020599913279624
poltrona	sedia	35	1.5440680443502757
camicia	poltrona	4	0.6020599913279624
armadio	poltrona	1	0.0
pettine	poltrona	0	0
giacca	poltrona	2	0.3010299956639812
pennello	poltrona	0	0
poltrona	spada	2	0.3010299956639812
gomma	poltrona	0	0
pastello	poltrona	1	0.0
penna	poltrona	0	0
poltrona	quaderno	0	0
poltrona	tenda	2	0.3010299956639812
poltrona	vaso	3	0.47712125471966244
letto	scopa	8	0.9030899869919435
letto	sedia	95	1.9777236052888478
camicia	letto	56	1.7481880270062005
armadio	letto	155	2.1903316981702914
letto	pettine	3	0.47712125471966244
giacca	letto	33	1.5185139398778875
letto	pennello	5	0.6989700043360189
letto	spada	79	1.8976270912904414
gomma	letto	16	1.2041199826559248
letto	pastello	11	1.041392685158225
letto	penna	16	1.2041199826559248
letto	quaderno	13	1.1139433523068367
letto	tenda	79	1.8976270912904414
letto	vaso	35	1.5440680443502757
scopa	sedia	2	0.3010299956639812
camicia	scopa	1	0.0
armadio	scopa	0	0
pettine	scopa	1	0.0
giacca	scopa	1	0.0
pennello	scopa	13	1.1139433523068367
scopa	spada	2	0.3010299956639812
gomma	scopa	2	0.3010299956639812
pastello	scopa	0	0
penna	scopa	0	0
quaderno	scopa	0	0
scopa	tenda	1	0.0
scopa	vaso	9	0.9542425094393249
camicia	sedia	10	1.0
armadio	sedia	15	1.1760912590556813
pettine	sedia	0	0
giacca	sedia	15	1.1760912590556813
pennello	sedia	1	0.0
sedia	spada	19	1.2787536009528289
gomma	sedia	10	1.0
pastello	sedia	0	0
penna	sedia	3	0.47712125471966244
quaderno	sedia	1	0.0
sedia	tenda	21	1.3222192947339193
sedia	vaso	8	0.9030899869919435
armadio	camicia	8	0.9030899869919435
camicia	pettine	1	0.0
camicia	giacca	205	2.311753861055754
camicia	pennello	3	0.47712125471966244
camicia	spada	17	1.2304489213782739
camicia	gomma	3	0.47712125471966244
camicia	pastello	0	0
camicia	penna	4	0.6020599913279624
camicia	quaderno	0	0
camicia	tenda	2	0.3010299956639812
camicia	vaso	5	0.6989700043360189
armadio	pettine	1	0.0
armadio	giacca	4	0.6020599913279624
armadio	pennello	0	0
armadio	spada	1	0.0
armadio	gomma	2	0.3010299956639812
armadio	pastello	0	0
armadio	penna	0	0
armadio	quaderno	0	0
armadio	tenda	2	0.3010299956639812
armadio	vaso	5	0.6989700043360189
giacca	pettine	1	0.0
pennello	pettine	3	0.47712125471966244
pettine	spada	7	0.8450980400142568
gomma	pettine	0	0
pastello	pettine	1	0.0
penna	pettine	0	0
pettine	quaderno	0	0
pettine	tenda	0	0
pettine	vaso	3	0.47712125471966244
giacca	pennello	2	0.3010299956639812
giacca	spada	11	1.041392685158225
giacca	gomma	3	0.47712125471966244
giacca	pastello	0	0
giacca	penna	0	0
giacca	quaderno	0	0
giacca	tenda	2	0.3010299956639812
giacca	vaso	3	0.47712125471966244
pennello	spada	4	0.6020599913279624
gomma	pennello	5	0.6989700043360189
pastello	pennello	1	0.0
penna	pennello	28	1.4471580313422192
pennello	quaderno	1	0.0
pennello	tenda	1	0.0
pennello	vaso	15	1.1760912590556813
gomma	spada	3	0.47712125471966244
pastello	spada	0	0
penna	spada	31	1.4913616938342726
quaderno	spada	0	0
spada	tenda	48	1.6812412373755872
spada	vaso	15	1.1760912590556813
gomma	pastello	2	0.3010299956639812
gomma	penna	14	1.146128035678238
gomma	quaderno	2	0.3010299956639812
gomma	tenda	2	0.3010299956639812
gomma	vaso	0	0
pastello	penna	4	0.6020599913279624
pastello	quaderno	0	0
pastello	tenda	0	0
pastello	vaso	0	0
penna	quaderno	8	0.9030899869919435
penna	tenda	4	0.6020599913279624
penna	vaso	4	0.6020599913279624
quaderno	tenda	0	0
quaderno	vaso	2	0.3010299956639812
tenda	vaso	1	0.0
