Word 1	Word 2	pearson_correlation	cosine_similarity
cane	orso	0.7032467517642079	0.7715904712677002
cavallo	orso	0.6152410981509708	0.7002543210983276
orso	scimmia	0.6282305587421911	0.7144457101821899
gufo	orso	0.6889978388699092	0.7567152380943298
coniglio	orso	0.6958908253782983	0.7688256502151489
gabbiano	orso	0.5526441097167221	0.6458458304405212
orso	passero	0.48671235573550803	0.5640691518783569
elefante	orso	0.7495626012924629	0.8075772523880005
gatto	orso	0.691503012697799	0.7664781212806702
leone	orso	0.7256881876609441	0.7856891751289368
maiale	orso	0.6586333872697202	0.7306963801383972
mucca	orso	0.504271716584338	0.5905263423919678
orso	serpente	0.6787664562596641	0.7555109858512878
orso	tigre	0.6647731458464833	0.7461928725242615
orso	topo	0.5950203931890311	0.6886498928070068
orso	poltrona	0.47350896518811925	0.5745309591293335
letto	orso	0.3751779121508469	0.47456827759742737
orso	scopa	0.5162413524178172	0.62563556432724
orso	sedia	0.5994270667786732	0.680546224117279
camicia	orso	0.5543238640064775	0.6485674977302551
armadio	orso	0.49992367573194596	0.6102214455604553
orso	pettine	0.2977306252953208	0.40568748116493225
giacca	orso	0.5633873797688873	0.656402587890625
orso	pennello	0.35784803786771685	0.4910811185836792
orso	spada	0.42911862275092616	0.546386182308197
gomma	orso	0.4279691086978698	0.5380793213844299
orso	pastello	0.3695275740799824	0.47133079171180725
orso	penna	0.3844818761336432	0.5105332136154175
orso	quaderno	0.14145808053373923	0.2841508090496063
orso	tenda	0.5551042211712672	0.6390987038612366
orso	vaso	0.43209106469686515	0.5366114974021912
cane	cavallo	0.6706747132432023	0.7402734160423279
cane	scimmia	0.6082495374421262	0.6948009729385376
cane	gufo	0.5921796023680151	0.6775689125061035
cane	coniglio	0.6996625262545192	0.7680108547210693
cane	gabbiano	0.5249096759995775	0.6199353337287903
cane	passero	0.40334891809985196	0.49265652894973755
cane	elefante	0.625542687075207	0.7083205580711365
cane	gatto	0.8549535213321126	0.8881428241729736
cane	leone	0.6668517641843268	0.736976683139801
cane	maiale	0.6073814969861544	0.687253475189209
cane	mucca	0.512736374777281	0.5946712493896484
cane	serpente	0.676137893188368	0.7496071457862854
cane	tigre	0.6033941365853888	0.6947396993637085
cane	topo	0.6920431589083986	0.759873628616333
cane	poltrona	0.4092971374862645	0.5186026692390442
cane	letto	0.5146427118388299	0.586857259273529
cane	scopa	0.502818648396885	0.6100232601165771
cane	sedia	0.5248703492313103	0.6178193092346191
camicia	cane	0.519050383969749	0.616592526435852
armadio	cane	0.4873743344445312	0.5953298211097717
cane	pettine	0.27431898424348333	0.3819517493247986
cane	giacca	0.5401825499919455	0.6340871453285217
cane	pennello	0.2894721905934517	0.43037962913513184
cane	spada	0.46229148322763436	0.5678877234458923
cane	gomma	0.43133002889173244	0.5363296866416931
cane	pastello	0.22800174345579127	0.3501962125301361
cane	penna	0.32278377132818653	0.4555027484893799
cane	quaderno	0.20948935069910923	0.33407434821128845
cane	tenda	0.5364124613422395	0.6210749745368958
cane	vaso	0.48364787696543615	0.5746129155158997
cavallo	scimmia	0.5759960494002838	0.6660952568054199
cavallo	gufo	0.5638118100613254	0.6519573926925659
cavallo	coniglio	0.6910988496830698	0.7584174275398254
cavallo	gabbiano	0.5963418657663113	0.6743535995483398
cavallo	passero	0.4744719942990281	0.5500826239585876
cavallo	elefante	0.6861573978154598	0.7528178691864014
cavallo	gatto	0.6448479406445697	0.723179042339325
cavallo	leone	0.6938239234397442	0.7560375332832336
cavallo	maiale	0.6517075130609533	0.7202122807502747
cavallo	mucca	0.5241261783225308	0.6019579172134399
cavallo	serpente	0.6749582914964426	0.745622992515564
cavallo	tigre	0.6575846973958186	0.7330302000045776
cavallo	topo	0.5672777511671071	0.6589709520339966
cavallo	poltrona	0.4314069465711533	0.5331690907478333
cavallo	letto	0.4569805596582057	0.5369414687156677
cavallo	scopa	0.6251888991505478	0.7030302286148071
cavallo	sedia	0.5064260374499234	0.599898099899292
camicia	cavallo	0.5691746876605092	0.6535723209381104
armadio	cavallo	0.4779219911850301	0.583941638469696
cavallo	pettine	0.28844374850944055	0.39056575298309326
cavallo	giacca	0.530379337338293	0.6230309009552002
cavallo	pennello	0.46133073410785225	0.5642825961112976
cavallo	spada	0.5522901646219847	0.6371930837631226
cavallo	gomma	0.39523098211258256	0.5034591555595398
cavallo	pastello	0.4029230388824155	0.49276265501976013
cavallo	penna	0.3753001761345968	0.4934283494949341
cavallo	quaderno	0.31982070885240177	0.42246752977371216
cavallo	tenda	0.5183945323268886	0.6038761734962463
cavallo	vaso	0.5005812801907353	0.5859264135360718
gufo	scimmia	0.5746708494194427	0.6641657948493958
coniglio	scimmia	0.7020226664678336	0.7702248692512512
gabbiano	scimmia	0.4941309437118107	0.5958474278450012
passero	scimmia	0.4253599845922824	0.5112752914428711
elefante	scimmia	0.7483748773351988	0.8042930364608765
gatto	scimmia	0.6940751740170262	0.7649108171463013
leone	scimmia	0.624009827233253	0.7035582065582275
maiale	scimmia	0.6224829756543845	0.6995958089828491
mucca	scimmia	0.5933053865324354	0.660934567451477
scimmia	serpente	0.6686748988427292	0.7442664504051208
scimmia	tigre	0.6876218984870042	0.759918212890625
scimmia	topo	0.7179984158203433	0.7804370522499084
poltrona	scimmia	0.5574911414601971	0.6389355659484863
letto	scimmia	0.42065331298941394	0.5090963840484619
scimmia	scopa	0.6616311563002831	0.7349379658699036
scimmia	sedia	0.6532970093436872	0.720990002155304
camicia	scimmia	0.6690935158995297	0.7362506985664368
armadio	scimmia	0.5286771739927245	0.6284030675888062
pettine	scimmia	0.30825545284369626	0.4107089936733246
giacca	scimmia	0.6288854122927059	0.7048878073692322
pennello	scimmia	0.38420543774487087	0.5067464113235474
scimmia	spada	0.48152745702066063	0.5837604999542236
gomma	scimmia	0.4544454400869013	0.555488646030426
pastello	scimmia	0.31695335265786123	0.4244394600391388
penna	scimmia	0.4938799139697954	0.5931306481361389
quaderno	scimmia	0.23085080320955326	0.3523634076118469
scimmia	tenda	0.5265032753858865	0.6133869290351868
scimmia	vaso	0.46315212465786454	0.5582859516143799
coniglio	gufo	0.7585432762078047	0.8103672862052917
gabbiano	gufo	0.7078973719644612	0.7638224363327026
gufo	passero	0.45553546134683504	0.5336750149726868
elefante	gufo	0.6480716764570587	0.7220978140830994
gatto	gufo	0.6725869758062498	0.7439019680023193
gufo	leone	0.7282601369997977	0.7829731702804565
gufo	maiale	0.5638752072519179	0.6489515900611877
gufo	mucca	0.35910981130068376	0.46443262696266174
gufo	serpente	0.7074535380108677	0.7702738046646118
gufo	tigre	0.5708513435412739	0.6646847724914551
gufo	topo	0.6359770443821204	0.7123115062713623
gufo	poltrona	0.391491364849303	0.4996192753314972
gufo	letto	0.44763681148849876	0.5285760760307312
gufo	scopa	0.5385195411274257	0.6334711909294128
gufo	sedia	0.46341505852677	0.5642262697219849
camicia	gufo	0.4982702764852084	0.5957335233688354
armadio	gufo	0.49133878543920745	0.5936954021453857
gufo	pettine	0.25736863169115365	0.3635205328464508
giacca	gufo	0.473703954972332	0.57663893699646
gufo	pennello	0.3981802800092134	0.5122615098953247
gufo	spada	0.3573365972823108	0.4783950448036194
gomma	gufo	0.342857216552937	0.4596194922924042
gufo	pastello	0.47617106947179655	0.5536522269248962
gufo	penna	0.4375945423876854	0.5429790616035461
gufo	quaderno	0.24005400116082473	0.3546450138092041
gufo	tenda	0.4574676709534939	0.5532279014587402
gufo	vaso	0.5375916688740613	0.6158571839332581
coniglio	gabbiano	0.6075021027882376	0.6881341338157654
coniglio	passero	0.48410823759095384	0.5614018440246582
coniglio	elefante	0.7212324976314987	0.7850691080093384
coniglio	gatto	0.8130526377866064	0.8578401207923889
coniglio	leone	0.7522636988195428	0.8058428764343262
coniglio	maiale	0.7251342105019676	0.7822821736335754
coniglio	mucca	0.5084730997349824	0.5931974649429321
coniglio	serpente	0.7337049084126966	0.7964739799499512
coniglio	tigre	0.6737055397817832	0.7518488764762878
coniglio	topo	0.7509177999109695	0.807706356048584
coniglio	poltrona	0.4951000546938902	0.5907742381095886
coniglio	letto	0.5086301277610061	0.5832667946815491
coniglio	scopa	0.5916838626564455	0.6827875971794128
coniglio	sedia	0.5579245100244197	0.6468673944473267
camicia	coniglio	0.6081243221758341	0.689865231513977
armadio	coniglio	0.5581841321789569	0.6543387174606323
coniglio	pettine	0.2858999238462713	0.39477527141571045
