word_one	word_two	raw_cooc	log10_cooc
gabbiano	leone	6	0.7781512503836436
gabbiano	maiale	4	0.6020599913279624
gabbiano	mucca	0	0
gabbiano	serpente	0	0
gabbiano	tigre	3	0.47712125471966244
gabbiano	topo	6	0.7781512503836436
gabbiano	poltrona	0	0
gabbiano	letto	3	0.47712125471966244
gabbiano	scopa	1	0.0
gabbiano	sedia	2	0.3010299956639812
camicia	gabbiano	0	0
armadio	gabbiano	1	0.0
gabbiano	pettine	0	0
gabbiano	giacca	2	0.3010299956639812
gabbiano	pennello	0	0
gabbiano	spada	3	0.47712125471966244
gabbiano	gomma	1	0.0
gabbiano	pastello	0	0
gabbiano	penna	2	0.3010299956639812
gabbiano	quaderno	0	0
gabbiano	tenda	1	0.0
gabbiano	vaso	2	0.3010299956639812
elefante	passero	6	0.7781512503836436
gatto	passero	30	1.4771212547196624
leone	passero	18	1.255272505103306
maiale	passero	8	0.9030899869919435
mucca	passero	10	1.0
passero	serpente	99	1.99563519459755
passero	tigre	21	1.3222192947339193
passero	topo	21	1.3222192947339193
passero	poltrona	1	0.0
letto	passero	6	0.7781512503836436
passero	scopa	1	0.0
passero	sedia	6	0.7781512503836436
camicia	passero	2	0.3010299956639812
armadio	passero	2	0.3010299956639812
passero	pettine	4	0.6020599913279624
giacca	passero	0	0
passero	pennello	0	0
passero	spada	8	0.9030899869919435
gomma	passero	1	0.0
passero	pastello	0	0
passero	penna	1	0.0
passero	quaderno	0	0
passero	tenda	1	0.0
passero	vaso	0	0
elefante	gatto	98	1.9912260756924949
elefante	leone	495	2.694605198933569
elefante	maiale	24	1.380211241711606
elefante	mucca	64	1.806179973983887
elefante	serpente	47	1.6720978579357175
elefante	tigre	256	2.4082399653118496
elefante	topo	89	1.9493900066449128
elefante	poltrona	1	0.0
elefante	letto	64	1.806179973983887
elefante	scopa	4	0.6020599913279624
elefante	sedia	47	1.6720978579357175
camicia	elefante	10	1.0
armadio	elefante	2	0.3010299956639812
elefante	pettine	21	1.3222192947339193
elefante	giacca	9	0.9542425094393249
