Word 1	Word 2	pearson_correlation	cosine_similarity
cane	orso	0.7289112158241207	0.750357195978309
cavallo	orso	0.6446912890230975	0.6762821957487346
orso	scimmia	0.6520406838953842	0.684199213502224
gufo	orso	0.736299940183388	0.7540575175491677
coniglio	orso	0.7774348615280463	0.7964211555386914
gabbiano	orso	0.6827229214668329	0.6965362423786593
orso	passero	0.6243355362526971	0.6533375944371553
elefante	orso	0.7098575619439047	0.7392781013233446
gatto	orso	0.7402930969377075	0.7645394208337046
leone	orso	0.6359109323361355	0.6751004686105644
maiale	orso	0.5890189075223959	0.6097429870726284
mucca	orso	0.693622095821001	0.7189652536299833
orso	serpente	0.5365627513946862	0.5628882842693373
orso	tigre	0.6797115166205506	0.7141583842289511
orso	topo	0.7244908371565425	0.7517217732738117
orso	poltrona	0.5257283786438459	0.5755007280947378
letto	orso	0.4964298944135956	0.5424671860817626
orso	scopa	0.5575064269172816	0.5849478102989107
orso	sedia	0.4395500770555315	0.49973380069674445
camicia	orso	0.5856260624707096	0.612311260157734
armadio	orso	0.46465983388305654	0.5078606655034871
orso	pettine	0.6032521966109281	0.6205822989638231
giacca	orso	0.6148676461421192	0.6413376754673222
orso	pennello	0.5510156011695497	0.5918152040544494
orso	spada	0.37963042285642196	0.4202301344746786
gomma	orso	0.5273089158514885	0.5388678152304803
orso	pastello	0.5781170491754741	0.5987818248964909
orso	penna	0.6001196285591684	0.6355553004119372
orso	quaderno	-0.05097428546416825	0.011092636085688223
orso	tenda	0.48262127698653406	0.5171151427471278
orso	vaso	0.4231648396931427	0.45243414218675626
cane	cavallo	0.7697134853248646	0.7866600082416066
cane	scimmia	0.7014453891660607	0.7240332881558267
cane	gufo	0.7330670158096595	0.7497310623946329
cane	coniglio	0.8767675211977146	0.8856513654188695
cane	gabbiano	0.7217210141044677	0.7340277251586625
cane	passero	0.6878459420744562	0.7086538894248544
cane	elefante	0.7321634842392771	0.7533176285065094
cane	gatto	0.8902179245440099	0.8982195383296254
cane	leone	0.5534356807074595	0.591429395923772
cane	maiale	0.8028872818647452	0.8110480507114871
cane	mucca	0.8036187602158129	0.8174831949396807
cane	serpente	0.6372142875558356	0.6554846703140865
cane	tigre	0.7008652144953547	0.7252585789647216
cane	topo	0.7898448308549735	0.806001176579044
cane	poltrona	0.5553129247726787	0.5924442962756583
cane	letto	0.6216322891149529	0.6500754161878111
cane	scopa	0.7319203466933354	0.7463626159184911
cane	sedia	0.4315855693461724	0.48064201110407434
camicia	cane	0.6933189871454408	0.710777976272358
armadio	cane	0.5405546816567481	0.5717568725786123
cane	pettine	0.7497734366459589	0.7593696617947308
cane	giacca	0.6996641960945212	0.7178950418759774
cane	pennello	0.7099108976948728	0.7315666192464076
cane	spada	0.5214198118644877	0.5480030706393803
cane	gomma	0.7033801166036091	0.7083390638366182
cane	pastello	0.67900701756713	0.6932897967494109
cane	penna	0.7363991889924595	0.755756371709716
cane	quaderno	-0.14642711432683828	-0.09059057114872249
cane	tenda	0.6401977046246962	0.6608002064754352
cane	vaso	0.625879045925493	0.6416404255146246
cavallo	scimmia	0.6629012714755176	0.690747699065644
cavallo	gufo	0.7310414835049327	0.7486286557833118
cavallo	coniglio	0.7578185384021627	0.7768417525677929
cavallo	gabbiano	0.678486796332156	0.6931921949955816
cavallo	passero	0.6661542489520915	0.6898586429188227
cavallo	elefante	0.7623383620364107	0.7832160203320953
cavallo	gatto	0.732221902907524	0.7545550245044423
cavallo	leone	0.6772087384542237	0.7069956793673797
cavallo	maiale	0.6640129653372147	0.6798341150176386
cavallo	mucca	0.7892897719030547	0.8052531040561016
cavallo	serpente	0.6306269232609181	0.6498471579510935
cavallo	tigre	0.6987541660338946	0.7264367769728137
cavallo	topo	0.6928512285580777	0.7195456945174621
cavallo	poltrona	0.6181396295470215	0.6530057355815976
cavallo	letto	0.5821094832095628	0.6162050309389074
cavallo	scopa	0.7083203395833205	0.7245509851714899
cavallo	sedia	0.5047153324469668	0.5511767266791329
camicia	cavallo	0.6171308763391726	0.6402050252069386
armadio	cavallo	0.5378404619368865	0.5714832983800773
cavallo	pettine	0.6615854236469976	0.6757069194507757
cavallo	giacca	0.6034779096358259	0.6290679739235449
cavallo	pennello	0.6586442743090583	0.6863815653330344
cavallo	spada	0.6353877926245244	0.6561846370175244
cavallo	gomma	0.5331134025241374	0.5453604296656553
cavallo	pastello	0.5401472001351926	0.5626032914857727
cavallo	penna	0.6796906383550512	0.7052141920249368
cavallo	quaderno	0.014919900996978477	0.06608181162488269
cavallo	tenda	0.6626417089103981	0.6827263541635348
cavallo	vaso	0.5436798775060595	0.5642733409733568
gufo	scimmia	0.7470373406181005	0.7637311015481779
coniglio	scimmia	0.7134232362689147	0.7366041523421867
gabbiano	scimmia	0.6229059353643899	0.6409805570694411
passero	scimmia	0.62378740557474	0.6512338715999703
elefante	scimmia	0.8162232697757603	0.8330092782084676
gatto	scimmia	0.7180754579210553	0.7424244101712638
leone	scimmia	0.6627017739234641	0.6953142101774549
maiale	scimmia	0.6557789501057875	0.6721058912994082
mucca	scimmia	0.7189607579970808	0.740854671266148
scimmia	serpente	0.6377959606096514	0.656731100812222
scimmia	tigre	0.6801990358888695	0.7110565389610761
scimmia	topo	0.770352670852731	0.7910473713913658
poltrona	scimmia	0.5428588025334684	0.5864639404939445
letto	scimmia	0.5249999349307938	0.5650331301900955
scimmia	scopa	0.600779688471555	0.6242341433149026
scimmia	sedia	0.47718909900658124	0.5282036837864065
camicia	scimmia	0.5762829722294334	0.6025298441742073
armadio	scimmia	0.5710967073287162	0.6031579243345194
pettine	scimmia	0.5792467922020951	0.5981922605852009
giacca	scimmia	0.5325470479346291	0.5636736754454008
pennello	scimmia	0.6300923350408162	0.6611341884755306
scimmia	spada	0.49133167744574213	0.521954017648353
gomma	scimmia	0.561136266521551	0.5717092518801105
pastello	scimmia	0.5833077369873956	0.6034147750237023
penna	scimmia	0.6230603177706747	0.654044055973576
quaderno	scimmia	0.00725717755117106	0.06054391371461343
scimmia	tenda	0.5591512613686511	0.5865322087089636
scimmia	vaso	0.4948365890543354	0.5185440482362297
coniglio	gufo	0.7824423164146893	0.7963856803858793
