word_one	word_two	spearman_correlation	cosine_similarity
armadio	camicia	0.5873465327945068	0.9764787046689044
armadio	cane	0.27601032204420284	0.9024233806294626
armadio	cavallo	0.28569372049567265	0.8983562797316106
armadio	coniglio	0.24832589764680635	0.9109306171418052
armadio	elefante	0.32119529405979547	0.9165509192639215
armadio	gabbiano	0.2686393923002646	0.899022859026969
armadio	gatto	0.253627467634647	0.8970069792222876
armadio	giacca	0.5158926847149703	0.9305711750158839
armadio	gomma	0.3866343050389815	0.9314484995496576
armadio	gufo	0.25094883234389526	0.9179554997180519
armadio	leone	0.41276020805021096	0.9671333528984352
armadio	letto	0.44834610364065514	0.8956979222983277
armadio	maiale	0.25464008073456834	0.8984521701386378
armadio	mucca	0.31939551891853224	0.9148065265081298
armadio	orso	0.2484122872112152	0.8923263073636456
armadio	passero	0.30254654754667043	0.9176038484796529
armadio	pastello	0.5226775959337672	0.9754359345908653
armadio	penna	0.24204600216365066	0.8777312842362947
armadio	pennello	0.34998989700307553	0.9295519448576863
armadio	pettine	0.343489691366855	0.9332722642437227
armadio	poltrona	0.45174437629640224	0.922586233055949
armadio	quaderno	0.324127007188327	0.8956070239185001
armadio	scimmia	0.2738479677776983	0.9147417450379434
armadio	scopa	0.334802421590015	0.928991561755384
armadio	sedia	0.3516715877798441	0.8866515221984912
armadio	serpente	0.3089654598204706	0.9238440103044172
armadio	spada	0.2996251832844574	0.9056852785436429
armadio	tenda	0.35175730679135964	0.930773689774696
armadio	tigre	0.3738141160324726	0.965616654972059
armadio	topo	0.23864049871253842	0.8837132617154504
armadio	vaso	0.3215678532472641	0.8985767519981935
camicia	cane	0.2537960111043559	0.8853259488249121
camicia	cavallo	0.22523925327229807	0.8750214999005693
camicia	coniglio	0.233348886435162	0.8891647020436143
camicia	elefante	0.20525387132537012	0.8870352425650978
camicia	gabbiano	0.24681937763750803	0.8838063095926271
camicia	gatto	0.23633528315213503	0.8792418368376882
camicia	giacca	0.5402796205564695	0.9092841886888459
camicia	gomma	0.2832845357091767	0.9035681197868223
camicia	gufo	0.24173256338960014	0.8984691436086575
camicia	leone	0.4459665908196838	0.9764916115650556
camicia	letto	0.3032826469851942	0.8631440305435494
camicia	maiale	0.2735135071704456	0.8870068568583394
camicia	mucca	0.25257604069809025	0.8900005848143093
camicia	orso	0.24753190714183532	0.8762976113278007
camicia	passero	0.2802658965739217	0.8997189208068261
camicia	pastello	0.41838681737715466	0.9683660603135554
camicia	penna	0.23007551543165722	0.8595568941250509
camicia	pennello	0.3097485091374007	0.9095671821776323
camicia	pettine	0.24446244009727486	0.9087618931175265
camicia	poltrona	0.3256965368178242	0.8951639904293093
camicia	quaderno	0.23377519043702163	0.8677982709273904
camicia	scimmia	0.20942786191974821	0.8924577186930659
camicia	scopa	0.2870542611401187	0.9106509228444774
camicia	sedia	0.2819567515735641	0.8625894254632822
camicia	serpente	0.23852755525355837	0.9003348230979588
camicia	spada	0.278507539249696	0.8810159120769596
camicia	tenda	0.27695594691009223	0.9057709091775081
camicia	tigre	0.4194046719655246	0.9748429200890288
camicia	topo	0.2265293746870753	0.8671957438305928
camicia	vaso	0.26219977111794573	0.8771419003682829
cane	cavallo	0.5464295740648022	0.9275964769805187
cane	coniglio	0.44454948903869534	0.9206066678155118
cane	elefante	0.44771380579000064	0.9216391964374527
cane	gabbiano	0.41239936118661036	0.9196637430615995
cane	gatto	0.6979758355089049	0.9493846113823262
cane	giacca	0.2772041408876332	0.909863276963087
cane	gomma	0.3144110757456548	0.915853381515247
cane	gufo	0.48368739271153705	0.9332991398647319
cane	leone	0.4737558114584078	0.9000088429961732
cane	letto	0.3120356421214505	0.9008046602602952
cane	maiale	0.5477154709963521	0.9291401435307848
cane	mucca	0.4802120400007152	0.9272588258906385
cane	orso	0.5385961304627709	0.9283849214692127
cane	passero	0.4372158085079751	0.9239076272899033
cane	pastello	0.2541416475931621	0.9033650549372517
cane	penna	0.2914940924290108	0.8909599925434044
cane	pennello	0.31428533590229596	0.9187348147060662
cane	pettine	0.32967069147414346	0.917694802979821
cane	poltrona	0.30277226682640723	0.907297647350207
cane	quaderno	0.28745757635362273	0.8962256881465883
cane	scimmia	0.4979405644267219	0.9324950873116692
cane	scopa	0.2735218779057292	0.8993986717523709
cane	sedia	0.3286586371682998	0.8945870483129482
cane	serpente	0.4379661013160718	0.9228920769524854
cane	spada	0.24589148889564408	0.8932930836361996
cane	tenda	0.23172558963951076	0.9065311804907615
cane	tigre	0.49377658742221586	0.9007135560805527
cane	topo	0.4800627413990415	0.9152503980575815
cane	vaso	0.2504912917530934	0.8891447451923458
cavallo	coniglio	0.4369934866962306	0.9162692912866824
cavallo	elefante	0.5038191451791717	0.9268169954785843
cavallo	gabbiano	0.4313920566304269	0.9148582126311482
cavallo	gatto	0.5384003178420713	0.9279882748587595
cavallo	giacca	0.2668645058472212	0.9049377634779782
cavallo	gomma	0.3421628013017667	0.9147150690354868
cavallo	gufo	0.4636470813067734	0.9244883057322137
cavallo	leone	0.48947532588870607	0.8920758828897347
cavallo	letto	0.274670177383592	0.893474415217962
cavallo	maiale	0.5120947401831055	0.9194588256113052
cavallo	mucca	0.5124105035405192	0.9269733627192756
cavallo	orso	0.5118052401473427	0.9203877481881247
cavallo	passero	0.4716829648272655	0.9270351916422657
cavallo	pastello	0.2623118763858093	0.8953286881442455
cavallo	penna	0.29385802607109646	0.8926112659871579
cavallo	pennello	0.26124387561690865	0.9107004066608497
cavallo	pettine	0.28826113341320364	0.9042743722342387
cavallo	poltrona	0.33264572231957656	0.9111501673231127
cavallo	quaderno	0.28875576675488157	0.8960664588696453
cavallo	scimmia	0.46658033670695936	0.9261141025176285
cavallo	scopa	0.25979648719691006	0.8926993992158776
cavallo	sedia	0.4383145317752664	0.9117678457502473
cavallo	serpente	0.4486008466847864	0.9244395515299203
cavallo	spada	0.3465263571990558	0.9042414300408397
cavallo	tenda	0.2026880230312567	0.9038906595574573
cavallo	tigre	0.48196701103283024	0.8926032253022221
cavallo	topo	0.4748999311565696	0.9135461971170973
cavallo	vaso	0.333605965238538	0.9034030543420266
coniglio	elefante	0.7250011175881553	0.978366705489751
coniglio	gabbiano	0.36388826800658036	0.9119829917741873
coniglio	gatto	0.46669341427651806	0.9238892677872974
coniglio	giacca	0.35269789133466845	0.9432614941769738
coniglio	gomma	0.389780818610972	0.947105198316115
coniglio	gufo	0.547036782061369	0.957884214622761
coniglio	leone	0.4084298556970174	0.8953529713938018
coniglio	letto	0.24905624150633002	0.8993872884033405
coniglio	maiale	0.4595768140690937	0.9147179691387541
coniglio	mucca	0.5039151236499534	0.9461295802786756
coniglio	orso	0.4330712998891353	0.9127332324987568
coniglio	passero	0.5165977934339461	0.9350615347074982
coniglio	pastello	0.2274746754523997	0.9076242958722692
coniglio	penna	0.2611061664044059	0.892638127245431
coniglio	pennello	0.2826289361454831	0.9289749671607702
coniglio	pettine	0.2846645000357628	0.9205639059301597
coniglio	poltrona	0.293250158697518	0.9120168104342341
coniglio	quaderno	0.23380258252270938	0.8918982192326155
coniglio	scimmia	0.4984270505507473	0.9462014509671851
coniglio	scopa	0.2686836040876904	0.9080841966670921
coniglio	sedia	0.24324293907803446	0.8879000452624218
coniglio	serpente	0.5440768386560332	0.9573308124382085
coniglio	spada	0.42530298932479793	0.9564757199071867
coniglio	tenda	0.4148503772977612	0.9584295039513643
coniglio	tigre	0.41550187531292465	0.8956753005417718
coniglio	topo	0.4221342916279236	0.902679178916806
coniglio	vaso	0.24164388276947282	0.8932923025854024
elefante	gabbiano	0.43498111276017454	0.9210340432818637
elefante	gatto	0.4698184589800443	0.922752777961982
elefante	giacca	0.36059510451684423	0.9442836524054051
elefante	gomma	0.3743402988877762	0.9478308147726612
elefante	gufo	0.6264553232959015	0.9656985284716119
elefante	leone	0.5091567685609041	0.9022808635753264
elefante	letto	0.2723549594091981	0.9015731572508983
elefante	maiale	0.44411967581002776	0.9120501668189256
elefante	mucca	0.5509392322616408	0.9521939772801818
elefante	orso	0.47154246164437447	0.9170037504818311
elefante	passero	0.510268165277877	0.9368980021964962
elefante	pastello	0.39326722426865024	0.9203687391348933
elefante	penna	0.263712750786782	0.8990668542745645
elefante	pennello	0.2943654222695086	0.9316354595995404
elefante	pettine	0.29668560233531216	0.9243261736936021
elefante	poltrona	0.3545919797403619	0.9221964816255506
elefante	quaderno	0.1846411200915528	0.8881765460874491
elefante	scimmia	0.6197455140011444	0.9587573168230078
elefante	scopa	0.24984552696516701	0.9091144853008942
elefante	sedia	0.2520650570416994	0.8909279213145597
elefante	serpente	0.6264266124561905	0.9660291300670558
elefante	spada	0.42820161066804946	0.954872299345363
elefante	tenda	0.444996770170231	0.9590812028083633
elefante	tigre	0.47616580090837557	0.8993826198911443
elefante	topo	0.4168504465882268	0.9049256638190062
elefante	vaso	0.25764049200700945	0.8992108878812476
gabbiano	gatto	0.43194292700808234	0.921211095468623
gabbiano	giacca	0.25450707656819965	0.9047536656720062
gabbiano	gomma	0.3190064641298906	0.9157965505852933
gabbiano	gufo	0.5071953566447321	0.9334089891715379
gabbiano	leone	0.45062080904441737	0.8987279707907182
gabbiano	letto	0.30943311458407835	0.893226986740717
gabbiano	maiale	0.4561572401831056	0.918180428921032
gabbiano	mucca	0.3982250129640226	0.9197965329826364
gabbiano	orso	0.4900677258422145	0.9231277737643255
gabbiano	passero	0.5478435242471925	0.9406582518422757
gabbiano	pastello	0.31659064086975175	0.9064809726065963
gabbiano	penna	0.27171871647235535	0.8903714391548385
gabbiano	pennello	0.348134085991703	0.9215793171095473
gabbiano	pettine	0.2554440513017667	0.9069584777050766
gabbiano	poltrona	0.3522282137364995	0.9108186450918243
gabbiano	quaderno	0.2626247004863743	0.8884613137981405
gabbiano	scimmia	0.459693255579	0.9287038784814754
gabbiano	scopa	0.24814118267648952	0.8983838797891953
gabbiano	sedia	0.28060888437879977	0.8819816363858054
gabbiano	serpente	0.48912785655532504	0.9318908841162155
gabbiano	spada	0.2576259074815821	0.8936066453441741
gabbiano	tenda	0.2626540036478077	0.9091821989628283
gabbiano	tigre	0.42330433937128953	0.8940370221396665
gabbiano	topo	0.4447841825513196	0.913037809625731
gabbiano	vaso	0.325613935877262	0.8998368988336635
gatto	giacca	0.2901713709677419	0.9130564436989868
gatto	gomma	0.23431325325441665	0.9051195640279999
gatto	gufo	0.5059689712824548	0.9324065106798533
gatto	leone	0.5053585111043558	0.8974735503956854
