Word 1	Word 2	Pixel overlap	Structural similarity
cane	orso	2.2815993935171712	1.852636941092591
cavallo	orso	0.6952308733004323	0.019681230361151006
orso	scimmia	-0.04732460424793737	-0.46271752763510937
gufo	orso	2.596622929446713	2.8509664838395556
coniglio	orso	0.26769893168173214	-0.34071578113797835
gabbiano	orso	-0.7598778402791043	-0.5032216484790403
orso	passero	0.5189677043874897	-0.030688194664215806
elefante	orso	0.08018492219975859	-0.08731924588021343
gatto	orso	1.8465668915192024	1.1186442587443017
leone	orso	2.105336224604229	1.8916909631739627
maiale	orso	1.0590080516952205	0.6195405944476302
mucca	orso	1.4452869112279427	1.3585745834497285
orso	serpente	-0.3360961788500385	-0.740882665587147
orso	tigre	2.2215949104830215	2.1380391157641356
orso	topo	2.4616128426197483	2.3675611481033325
orso	poltrona	0.2526978109231947	-0.6044536769331638
letto	orso	2.004078659483973	1.8417854203076707
orso	scopa	1.4640383121761145	0.9453533644655866
orso	sedia	1.9665758575876298	1.518195243293876
camicia	orso	0.4852151826806526	0.4790551315993531
armadio	orso	0.4214604194568686	0.11044902605790514
orso	pettine	0.3952084581294281	0.26760223964278207
giacca	orso	1.2727740225046345	1.2873224626778295
orso	pennello	-0.17483413069550544	-0.7409743204237971
orso	spada	1.2315209404186567	0.6593121479210726
gomma	orso	0.4439621005946747	-0.5355591513811169
orso	pastello	0.3277034147158818	-0.16876881546027497
orso	penna	1.3552801866765902	0.4654701094732928
orso	quaderno	-0.5311107487111528	-1.1101108235057537
orso	tenda	1.4302857904694053	1.4958560599429853
orso	vaso	2.457862562430114	1.9017899095866966
cane	cavallo	0.6239755496972517	0.8198281239365519
cane	scimmia	-0.22358777316087994	-0.17415450061837442
cane	gufo	1.970326137777264	1.7693586502623546
cane	coniglio	-0.11857992785099011	-0.8860438630725386
cane	gabbiano	-1.194910342277073	-1.3935155920023026
cane	passero	0.3314536949055162	0.1620097562387326
cane	elefante	-0.21608721278161125	-0.6279571153561581
cane	gatto	2.769135818170149	2.0852734324072637
cane	leone	1.8878199736051804	1.1242557324731757
cane	maiale	0.8939957233511809	0.9217471042420258
cane	mucca	1.351529906486956	1.1507457196725575
cane	serpente	-0.3510972996085759	0.02780396648219015
cane	tigre	1.895320533984449	2.1721424589719858
cane	topo	2.3528547171203518	2.9827300552648843
cane	poltrona	-0.013572082541100275	-0.6940497857117501
cane	letto	1.7078065245026033	1.8408764704826766
cane	scopa	1.3177773847802468	1.274005280316212
cane	sedia	1.7865624084850527	1.3427391241224274
camicia	cane	0.22644584959562633	-0.10112225036822457
armadio	cane	0.2789497722506352	0.3721295011840228
cane	pettine	0.3052017335780757	0.4674205536025314
cane	giacca	1.0590080516952205	0.8690112586642817
cane	pennello	-0.42985318359089736	-0.8883302509841136
cane	spada	1.2277706602290224	1.1322891179720163
cane	gomma	0.3502050958536879	0.3097534115674362
cane	pastello	-0.1110793674717214	-0.5590878581491717
cane	penna	1.2427717809875596	1.0875720120313808
cane	quaderno	-0.8048812025547165	-1.4664729988908223
cane	tenda	1.2315209404186567	1.2232245932341734
cane	vaso	2.2440965916208278	2.3806063532026434
cavallo	scimmia	-0.7786292412272761	-0.4732868202256029
cavallo	gufo	0.3877078977501594	-0.3819400543857663
cavallo	coniglio	-0.7711286808480073	-1.5174591015739982
cavallo	gabbiano	-1.8624602160325	-1.495644867637578
cavallo	passero	-0.3023436571432014	-0.31361386660968216
cavallo	elefante	-0.8461342846406944	-0.8964744819547059
cavallo	gatto	0.3014514533884413	0.3620615430494304
cavallo	leone	0.31645257414697875	-0.1571971288677582
cavallo	maiale	-0.04357432405817511	0.1220073656428415
cavallo	mucca	0.3427045354744192	0.4022064655606573
cavallo	serpente	-1.011146612984734	0.2649497293893477
cavallo	tigre	0.2639486514920978	-0.2814407831707101
cavallo	topo	0.6464772308350578	0.4590597993446051
cavallo	poltrona	-0.6173671930728709	-0.4953083146133111
cavallo	letto	0.18144248732001408	0.11743186332756458
cavallo	scopa	0.3127022939573444	0.4437865955731211
cavallo	sedia	0.2376966901646573	-0.2179960499578401
camicia	cavallo	-0.4748565458666375	-0.6271777888731906
armadio	cavallo	-0.23108833354014865	0.16270349555328692
cavallo	pettine	-0.2798419760053953	1.1536176539440175
cavallo	giacca	0.06143352125158682	-0.045247619438837997
cavallo	pennello	-0.9286404488127782	-0.565282808730853
cavallo	spada	0.34645481566405356	0.8965384298298525
cavallo	gomma	-0.19733581183343946	0.25885700946030993
cavallo	pastello	-0.4748565458666375	-0.9290206617239866
cavallo	penna	0.245197250543926	0.4339625587070652
cavallo	quaderno	-1.3299204291040378	-0.958542082991873
cavallo	tenda	0.05768324106195246	0.47259127297989817
cavallo	vaso	0.6014738685594455	0.7149698971770866
gufo	scimmia	-0.24608945429868606	-0.4129350163654663
coniglio	scimmia	-1.044899134691571	-0.5286968118122094
gabbiano	scimmia	-1.6861970471195573	-0.5235890597222259
passero	scimmia	-0.7411264393308046	-0.07744529095267012
elefante	scimmia	-1.4124265932759936	-0.712268477389977
gatto	scimmia	-0.5686135506074964	-1.136285766053873
leone	scimmia	-0.47110626567700314	-0.9737465770971883
maiale	scimmia	-0.767378400658373	-0.389274096137883
mucca	scimmia	-0.48985766662517494	-0.33126722033763106
scimmia	serpente	-1.236163424363051	0.19478502491662827
scimmia	tigre	-0.3698487005567477	-0.1913670705494917
scimmia	topo	-0.036073763678906405	0.19567799281458376
poltrona	scimmia	-0.7598778402791043	0.5808765227174807
letto	scimmia	-0.553612429848959	-0.6856264471645294
scimmia	scopa	-0.3098442175224701	0.5742360290236305
scimmia	sedia	-0.6436191544003114	-0.939807400602296
camicia	scimmia	-0.6473694345899458	0.5414568734706269
armadio	scimmia	-0.7073739176240954	1.4625859494726168
pettine	scimmia	-1.1761589413289013	-0.4892136312759506
giacca	scimmia	-0.553612429848959	0.1395898939830256
pennello	scimmia	-1.2474142649319542	-1.0356488679071105
scimmia	spada	-0.6136169128832365	0.3188182891603494
gomma	scimmia	-0.9923952120365622	-1.4765256275125165
pastello	scimmia	-1.0298980139330336	-0.35057820419943253
penna	scimmia	-0.5986157921245712	-1.0383097230485645
quaderno	scimmia	-1.5624378008614956	-1.2929705955410042
scimmia	tenda	-0.4936079468148093	0.6513051913891081
scimmia	vaso	-0.14108160898879624	-0.3105380272059372
coniglio	gufo	-0.11857992785099011	-0.443153972761153
gabbiano	gufo	-0.9961454922261965	-0.70795670374459
gufo	passero	0.17394192694074537	-0.5096218294448284
elefante	gufo	-0.4823571062459062	-1.147813788718103
gatto	gufo	1.5577953169171013	0.8252887321254628
gufo	leone	1.767811007536753	1.4478051779918202
gufo	maiale	0.7289833950071415	0.5677664261808986
gufo	mucca	1.021505249798877	0.8280696580113889
gufo	serpente	-0.6586202751588488	-0.7866277701359089
gufo	tigre	2.022830060432145	2.4967548922738163
gufo	topo	2.22909547086229	2.535681194557253
gufo	poltrona	-0.06607600519610915	-0.8700353193042082
gufo	letto	1.854067451898471	2.2503547023270283
gufo	scopa	1.2540226215564627	0.8359228375094487
gufo	sedia	1.7640607273471187	1.1711301207442475
camicia	gufo	0.32395313452624747	0.47552758301441644
armadio	gufo	0.13268884485476745	0.15413320651507117
gufo	pettine	0.2789497722506352	0.3286120267017368
giacca	gufo	0.8752443224030092	0.5921859195067516
gufo	pennello	-0.7073739176240954	-1.6837696155660626
gufo	spada	1.0402566507470488	0.6253496314544161
gomma	gufo	0.008929598596705854	-1.027844387577986
gufo	pastello	-0.1035788070924527	-0.5918524930767333
gufo	penna	0.9727516073336303	-0.06468426112140008
gufo	quaderno	-0.9098890478646063	-1.4232447408066609
gufo	tenda	1.2427717809875596	1.3870892114280837
gufo	vaso	2.0603328623284884	1.7168812646351108
coniglio	gabbiano	-1.7424512499642006	-1.1597140402745454
coniglio	passero	-0.4373537439701661	0.7945176488259638
coniglio	elefante	-0.6548699949692145	-0.555705462744293
coniglio	gatto	-0.2273380533505143	-0.9279142631368646
coniglio	leone	0.09143576276866165	0.0939352978388768
coniglio	maiale	-0.16358329012660236	0.8661936478136834
coniglio	mucca	-0.13358104860952752	-0.10531514977336033
coniglio	serpente	-1.449929395172337	-1.8007718260859462
coniglio	tigre	-0.24233917410905173	-0.46232047317079156
coniglio	topo	-0.07732684576501221	-0.5496046601659953
coniglio	poltrona	-0.8086314827443509	-0.9511509527095733
coniglio	letto	-0.28734253638466395	-0.640986820083297
coniglio	scopa	-0.2910928165742983	-0.25678610175689254
coniglio	sedia	-0.12608048823025883	-0.042613935020564556
camicia	coniglio	0.4439621005946747	2.1066921499518716
armadio	coniglio	-0.7936303619858135	-0.8029025774711048
coniglio	pettine	-0.8386337242614257	-0.4832283198913357
coniglio	giacca	-0.38109954112565075	-0.19900207155188487
coniglio	pennello	-1.3336707092936722	-1.764128473975687
coniglio	spada	-0.49735822700444365	-1.0378366702850672
coniglio	gomma	-0.6361185940210426	-0.4625840271010042
coniglio	pastello	-0.3098442175224701	1.573149592305613
coniglio	penna	-0.4336034637805317	-1.0743770728047888
coniglio	quaderno	-1.4836819168791742	-0.7231606660682734
coniglio	tenda	-0.5236101883318841	-0.07841905629202169
coniglio	vaso	-0.002321241972197211	-0.659639203196633
gabbiano	passero	-1.6711959263610199	-1.196887750859885
elefante	gabbiano	-2.0949775877900856	-1.7135688749939066
gabbiano	gatto	-1.3449215498625753	-1.7225355909167042
gabbiano	leone	-1.2324131441734167	-1.2038764764071723
gabbiano	maiale	-1.4611802357413681	-0.7997753349708909
gabbiano	mucca	-1.3261701489144035	-0.832024788064864
gabbiano	serpente	-1.9637177811527553	-0.6421269705882993
gabbiano	tigre	-1.1686583809495048	-1.197786362588397
gabbiano	topo	-1.0036460526054651	-0.990596094570286
gabbiano	poltrona	-1.6074411631372358	-1.3245706619676665
gabbiano	letto	-1.2849170668282976	-1.4759191126413054
gabbiano	scopa	-1.3449215498625753	-0.7614861076355899
gabbiano	sedia	-1.2699159460697602	-1.7556510779723624
camicia	gabbiano	-1.584939481999302	-0.12159827529485431
armadio	gabbiano	-1.7837043320501784	-0.778527257134233
gabbiano	pettine	-1.7574523707227379	-0.855926280559908
gabbiano	giacca	-1.4649305159310024	-1.316292839776192
gabbiano	pennello	-2.1774837519621695	-2.251296496967264
gabbiano	spada	-1.5286852791547865	-1.1814194895661037
gabbiano	gomma	-1.7574523707227379	-2.1423210799049004
gabbiano	pastello	-1.8137065735672533	-0.8270228711810448
gabbiano	penna	-1.6036908829476015	-2.2612496847188495
gabbiano	quaderno	-1.7837043320501784	-0.3314928892692202
gabbiano	tenda	-1.322419868724769	-0.5278661998811696
gabbiano	vaso	-1.086152216777549	-1.7472422655365556
elefante	passero	-0.831133163882157	-0.5055239373913732
gatto	passero	0.012679878786340207	-0.18422790501723998
leone	passero	0.15894080618220793	-0.1504341166160938
maiale	passero	-0.41110178264272557	-0.19238570474833858
mucca	passero	-0.013572082541100275	0.13289103006304392
passero	serpente	-1.0824019365879145	-0.7120581642241571
passero	tigre	0.1551905259925736	-0.4157940740090388
passero	topo	0.3202028543366131	-0.03193823849084235
passero	poltrona	-0.5348610289007872	-0.7462950372955444
letto	passero	0.008929598596705854	-0.2187653479290281
passero	scopa	0.05393296087231811	-0.14892686774832362
passero	sedia	0.12893856466513312	0.37427268771473277
camicia	passero	-0.35484757979821024	0.8809636196917641
armadio	passero	-0.4748565458666375	-0.4266374657521565
passero	pettine	-0.5573627100385933	-0.4301011424221394
giacca	passero	-0.05857544481684044	0.26895888281315816
passero	pennello	-0.8536348450199631	-0.23607654992105845
passero	spada	0.008929598596705854	0.109723489581014
gomma	passero	-0.12983076841989316	0.7672549949842961
passero	pastello	2.28909995389644	2.394893521927862
passero	penna	0.12893856466513312	0.5606753771800187
passero	quaderno	-1.3374209894833065	-1.3028180956282038
passero	tenda	-0.1860849712645364	-0.14183171642323655
passero	vaso	0.4702140619221152	0.14072459602718038
