word_one	word_two	spearman_correlation	cosine_similarity
cane	orso	0.1146937117087899	0.047875319958634366
cavallo	orso	0.14125951179468713	0.05503715368323514
orso	scimmia	0.14554875915613855	0.05494930535119569
gufo	orso	0.1221329743125353	0.04966376107861947
coniglio	orso	0.13108412512055168	0.04824982024212776
gabbiano	orso	0.08460495928152544	0.032586394333086965
orso	passero	0.10434911677843837	0.03657661550057456
elefante	orso	0.17187796557013063	0.06660168173686953
gatto	orso	0.1395868873996064	0.053321539408056506
leone	orso	0.18281069687407375	0.07594102711371131
maiale	orso	0.1454891141518611	0.05401723522266155
mucca	orso	0.1476354573652569	0.056679292463956754
orso	serpente	0.1579452956682701	0.06442724778501785
orso	tigre	0.16699304116639008	0.06412113430809308
orso	topo	0.1418521224048125	0.05228976361539128
orso	poltrona	0.08049195935417396	0.028945727357470252
letto	orso	0.10092580113198663	0.04449383070420221
orso	scopa	0.10228680398169888	0.03375919035044306
orso	sedia	0.14341061759902518	0.058209555024447135
camicia	orso	0.10577163031925182	0.043397709964187015
armadio	orso	0.120718586105306	0.04320222066592605
orso	pettine	0.10104849118497218	0.039232435790936604
giacca	orso	0.1081469015842877	0.04165884841317502
orso	pennello	0.05171969351286774	0.019667803053860733
orso	spada	0.1765651463127718	0.07618967059123616
gomma	orso	0.1247468533849575	0.05076223869580199
orso	pastello	0.04839807340482708	0.018447856735071433
orso	penna	0.1325265016831579	0.052235953677253866
orso	quaderno	0.11612660043700306	0.044849923371578004
orso	tenda	0.12840650570667797	0.04884504649939869
orso	vaso	0.09975404732662124	0.03777830588193787
cane	cavallo	0.12438581787568677	0.05045997616451503
cane	scimmia	0.13383133281046775	0.04943864954448518
cane	gufo	0.0929820240606706	0.035151868213544546
cane	coniglio	0.11584738332252097	0.04415173000231576
cane	gabbiano	0.0740786737853806	0.028650466275974007
cane	passero	0.0699768945646447	0.024092597430696694
cane	elefante	0.10982011363469144	0.04332396676107719
cane	gatto	0.16151464949686042	0.06425331896020192
cane	leone	0.10966545833394942	0.045205824927008975
cane	maiale	0.14312350943814992	0.056628880888415445
cane	mucca	0.131362625125404	0.05174773222994178
cane	serpente	0.11801769053867317	0.04819245587994114
cane	tigre	0.11299616775482986	0.04538591897459754
cane	topo	0.11824022866493314	0.04531295678950187
cane	poltrona	0.05663331334318565	0.020661724389331892
cane	letto	0.09098880455744493	0.03976525655388086
cane	scopa	0.08649651851587861	0.03409397787387358
cane	sedia	0.12003711781764402	0.046474497029540096
camicia	cane	0.11456412889692492	0.04648049504369378
armadio	cane	0.08709102027060636	0.03611629275099337
cane	pettine	0.07862824379413152	0.03235717123653581
cane	giacca	0.11068995617559642	0.043024188681871633
cane	pennello	0.04143519354003104	0.014155414977191416
cane	spada	0.08374941296745393	0.038428104330408996
cane	gomma	0.09272504856530621	0.038017113075537456
cane	pastello	0.04693600329630613	0.01628289746166811
cane	penna	0.10943576417437208	0.045402014471975116
cane	quaderno	0.0773617274169809	0.027835443986879427
cane	tenda	0.0836373575977086	0.0357329513400666
cane	vaso	0.0765948867703701	0.027034922302224706
cavallo	scimmia	0.13209131883831146	0.04909945306298347
cavallo	gufo	0.10662672565944731	0.03878061359687923
cavallo	coniglio	0.12434338847432785	0.04712258631339539
cavallo	gabbiano	0.08839336102743751	0.03479885290208051
cavallo	passero	0.09071440719256528	0.030654373519220735
cavallo	elefante	0.15772853931850486	0.0628241605317853
cavallo	gatto	0.1275089153465405	0.04998018125048076
cavallo	leone	0.14643189209586632	0.0542890495595606
cavallo	maiale	0.13648230152543686	0.05467363469449038
cavallo	mucca	0.15463987198392093	0.06393363403853347
cavallo	serpente	0.13574132547620074	0.05142408669673948
cavallo	tigre	0.14032931515505226	0.05413565466155057
cavallo	topo	0.13354820615093446	0.05101379373909831
cavallo	poltrona	0.07008783979007772	0.02390984883413516
cavallo	letto	0.09711705378772834	0.04353571208447615
cavallo	scopa	0.09863536957455157	0.037575764762447506
cavallo	sedia	0.1355608795058415	0.05064406399492649
camicia	cavallo	0.10695165375914806	0.04369181986006632
armadio	cavallo	0.11080549091355456	0.03740977803264822
cavallo	pettine	0.09012188302184518	0.03407038601432277
cavallo	giacca	0.1144656945678063	0.045701253587833834
cavallo	pennello	0.05534671749344637	0.016774728949538575
cavallo	spada	0.14772085417042166	0.06405488934686898
cavallo	gomma	0.11545909050726806	0.04648879670053263
cavallo	pastello	0.04662366701912593	0.015064425267444226
cavallo	penna	0.12342577783761573	0.04785923265663761
cavallo	quaderno	0.09485996159227163	0.03347632740465778
cavallo	tenda	0.11614717521824637	0.04420233388368644
cavallo	vaso	0.1005340241812326	0.03672851397857657
gufo	scimmia	0.14805688954707252	0.05476893072039102
coniglio	scimmia	0.16559240468367084	0.05384253617265955
gabbiano	scimmia	0.1107512982499459	0.03821194766824376
passero	scimmia	0.11542775787857872	0.03957320286981958
elefante	scimmia	0.1850612416129049	0.07233206728962116
gatto	scimmia	0.1706844883967684	0.06017990515819771
leone	scimmia	0.16267450252707488	0.06079144381683488
maiale	scimmia	0.17902239857213298	0.06814011599069703
mucca	scimmia	0.16029346477058445	0.05712384585390928
scimmia	serpente	0.1786603291529455	0.06811313325266599
scimmia	tigre	0.17089938166731616	0.06535509593109778
scimmia	topo	0.18943592876895402	0.06995392221155128
poltrona	scimmia	0.08590757289951793	0.035365055372028276
letto	scimmia	0.08574752065636729	0.036445297032819735
scimmia	scopa	0.13541271239520877	0.04302869821235167
scimmia	sedia	0.1489967774416587	0.05040470566461308
camicia	scimmia	0.1383601939078331	0.053246125620636464
armadio	scimmia	0.13070245333864325	0.04799863451723052
pettine	scimmia	0.11892093365153437	0.041191034658321635
giacca	scimmia	0.1315683451444372	0.048929003499000645
pennello	scimmia	0.07053319641849166	0.02061318850266647
scimmia	spada	0.1321118057965565	0.05297002830219388
gomma	scimmia	0.1644205066936377	0.06341380925511841
pastello	scimmia	0.0796949445329718	0.024725391326011703
penna	scimmia	0.14566165306822465	0.05252444366531073
quaderno	scimmia	0.12266004832815379	0.041550773275925934
scimmia	tenda	0.1321816393826629	0.04611886613445415
scimmia	vaso	0.12073839003431473	0.04114515753032466
coniglio	gufo	0.14789509542973955	0.04810950227634636
gabbiano	gufo	0.15386192132925805	0.06654989473298967
gufo	passero	0.14007558727797895	0.06033199628925712
elefante	gufo	0.16301200446847336	0.05214256702855069
gatto	gufo	0.12409544866411197	0.044243173702006144
gufo	leone	0.1467936342433472	0.05017902723621881
gufo	maiale	0.12540499959991042	0.04276794092528602
gufo	mucca	0.12288847921051543	0.036693104307256585
gufo	serpente	0.14667355353126169	0.05323525284914732
gufo	tigre	0.14381199039660514	0.04816197393400967
gufo	topo	0.1530593105780762	0.05105413007863058
gufo	poltrona	0.0922529898269158	0.02693228502620526
gufo	letto	0.06518365673222094	0.028831342780937685
gufo	scopa	0.12491391785946832	0.03656251192106974
gufo	sedia	0.10783949702060915	0.037734690097663504
camicia	gufo	0.09346917708856932	0.03333316009977594
armadio	gufo	0.11647471168732285	0.03249878825466401
