word_one	word_two	spearman_correlation	cosine_similarity
cane	orso	0.15894508363498164	0.06030092633460582
cavallo	orso	0.1682163707975885	0.060123411847364916
orso	scimmia	0.1917990592553436	0.0664867243222087
gufo	orso	0.13533391689232627	0.04707681774765193
coniglio	orso	0.18276933600468911	0.06754678476869791
gabbiano	orso	0.11081441197266734	0.04074681219733911
orso	passero	0.1303727685907852	0.04229799912737631
elefante	orso	0.17989497390594097	0.06284830430599309
gatto	orso	0.17028765887612557	0.058603887488668516
leone	orso	0.19254082285687457	0.07132701079005299
maiale	orso	0.16315047677932187	0.05509683141534738
mucca	orso	0.1645149035516755	0.05454813214880749
orso	serpente	0.1852552119533191	0.061106426849090956
orso	tigre	0.18086833503180375	0.0640799538322625
orso	topo	0.17774548073156438	0.05373451365626247
orso	poltrona	0.13405841174978372	0.03270758913222016
letto	orso	0.05235781192522761	0.027793590700816106
orso	scopa	0.1453470491031541	0.04337466396705736
orso	sedia	0.1397908615504527	0.04412203775655288
camicia	orso	0.12536876965518953	0.037302227352051465
armadio	orso	0.14488342570105442	0.050850722386794556
orso	pettine	0.0948525893499528	0.02854182321138432
giacca	orso	0.13690813128265072	0.045779822729466124
orso	pennello	0.10424781290771726	0.028741674114098115
orso	spada	0.1322284448234497	0.047407603735705184
gomma	orso	0.149286027893189	0.05064318146864566
orso	pastello	0.07095768227653701	0.0177106138374592
orso	penna	0.1319301655103981	0.040215234952409085
orso	quaderno	0.09794978572573405	0.024951041276265018
orso	tenda	0.14894540877119175	0.04903325356874422
orso	vaso	0.13824428886758697	0.040056715318089964
cane	cavallo	0.16256570312631943	0.06369054862279522
cane	scimmia	0.14955150799850486	0.056829998861838704
cane	gufo	0.09268851905746436	0.031966864094869374
cane	coniglio	0.14109286112692673	0.05502055576353149
cane	gabbiano	0.07452884592007614	0.026805717387771932
cane	passero	0.09912206716194426	0.037990582825179864
cane	elefante	0.12421026317196332	0.04398675918314909
cane	gatto	0.19386454354627597	0.07938046029371404
cane	leone	0.13575270064225556	0.050021997903418325
cane	maiale	0.1492766758797973	0.059586575068150904
cane	mucca	0.13250531705088492	0.04985403833881108
cane	serpente	0.13996317797079166	0.054368109096303074
cane	tigre	0.12045483869193944	0.04464519528697419
cane	topo	0.1514379497652787	0.05755169707790331
cane	poltrona	0.09570374654839227	0.03678236668924839
cane	letto	0.05518145218683583	0.029498154542088484
cane	scopa	0.12512110340489097	0.04712402370422186
cane	sedia	0.1397201157350565	0.055611889711556506
camicia	cane	0.11717787036745525	0.0449812121548534
armadio	cane	0.11280645576466643	0.04421446778736704
cane	pettine	0.06307578260275057	0.021626470302083423
cane	giacca	0.12555029379358212	0.04732683534956594
cane	pennello	0.08481816125143818	0.031577797311496125
cane	spada	0.11885186149194611	0.04699774434079251
cane	gomma	0.11970956387007901	0.04648516225597177
cane	pastello	0.049407496710118085	0.019846525313808483
cane	penna	0.10327093254916576	0.039108573701719496
cane	quaderno	0.07683912399085802	0.02476619187867568
cane	tenda	0.11662226457520507	0.04371073974937201
cane	vaso	0.11330307024837977	0.040904321259090826
cavallo	scimmia	0.15119065939338797	0.051585870354731944
cavallo	gufo	0.09618774582934657	0.030595615597425407
cavallo	coniglio	0.1518041828290406	0.05316448549911801
cavallo	gabbiano	0.07589582031678838	0.022994834929348174
cavallo	passero	0.10854497595862041	0.040541268718971235
cavallo	elefante	0.14494988469612774	0.05564025261335448
cavallo	gatto	0.14974393244950301	0.053691903055893
cavallo	leone	0.16009323828440866	0.0557149527540588
cavallo	maiale	0.1506003001412647	0.052994105587226614
cavallo	mucca	0.1459832253712494	0.05235642068062585
cavallo	serpente	0.1538178452406541	0.055589730546234506
cavallo	tigre	0.14461539000555723	0.052394653459375884
cavallo	topo	0.14280019763000887	0.0491290417626421
cavallo	poltrona	0.11598517135667258	0.0380839718948871
cavallo	letto	0.0585588784392782	0.03237636520915077
cavallo	scopa	0.13259586916387797	0.045379240686000966
cavallo	sedia	0.15579363010445088	0.0594690126587466
camicia	cavallo	0.12805312315250147	0.046300578758855626
armadio	cavallo	0.1258041258193666	0.046301580321679414
cavallo	pettine	0.07617545297471587	0.02466248968860285
cavallo	giacca	0.13900910767528418	0.05039202083872074
cavallo	pennello	0.08826292949598039	0.03067464488657823
cavallo	spada	0.16051682706318143	0.06768468495792379
cavallo	gomma	0.1416029966937957	0.05244640021094882
