word_one	word_two	surprisal_w_two
gomma	sedia	33.16922378540039
gomma	pennello	30.396757125854492
gomma	topo	12.685093879699707
gomma	cavallo	38.45793533325195
gomma	leone	26.97218132019043
gomma	serpente	66.68439483642578
gomma	pastello	33.097755432128906
gomma	scimmia	63.31342697143555
gomma	cane	10.823175430297852
gomma	tigre	39.16040802001953
gomma	pettine	58.530059814453125
gomma	camicia	53.97185516357422
gomma	gabbiano	46.46620559692383
gomma	tenda	36.01646041870117
gomma	letto	6.429821968078613
gomma	passero	30.365371704101562
gomma	mucca	32.527042388916016
gomma	gufo	27.59543228149414
gomma	poltrona	71.13208770751953
gomma	elefante	65.94377136230469
gomma	scopa	43.237579345703125
gomma	quaderno	33.325740814208984
gomma	vaso	25.495080947875977
gomma	spada	34.270198822021484
gomma	orso	27.30400848388672
gomma	maiale	28.573448181152344
gomma	gatto	28.958017349243164
gomma	penna	34.773277282714844
gomma	armadio	41.148597717285156
gomma	coniglio	52.12418746948242
gomma	giacca	44.33383560180664
sedia	gomma	42.701290130615234
sedia	pennello	30.36200714111328
sedia	topo	11.858906745910645
sedia	cavallo	32.93581771850586
sedia	leone	27.478288650512695
sedia	serpente	63.28934860229492
sedia	pastello	38.47471237182617
sedia	scimmia	58.4935302734375
sedia	cane	10.114264488220215
sedia	tigre	36.98948287963867
sedia	pettine	54.43333053588867
sedia	camicia	47.49235534667969
sedia	gabbiano	47.379695892333984
sedia	tenda	37.727725982666016
sedia	letto	5.924043655395508
sedia	passero	28.648273468017578
sedia	mucca	33.583683013916016
sedia	gufo	28.48516273498535
sedia	poltrona	69.34858703613281
sedia	elefante	62.491844177246094
sedia	scopa	37.25379943847656
sedia	quaderno	33.19609832763672
sedia	vaso	28.246061325073242
sedia	spada	31.36176300048828
sedia	orso	27.14739227294922
sedia	maiale	34.428733825683594
sedia	gatto	29.315587997436523
sedia	penna	31.705211639404297
sedia	armadio	36.98652648925781
sedia	coniglio	44.1507682800293
sedia	giacca	45.1859245300293
pennello	gomma	42.35734939575195
pennello	sedia	31.719432830810547
pennello	topo	9.6168212890625
pennello	cavallo	31.622516632080078
pennello	leone	25.870969772338867
pennello	serpente	60.77125930786133
pennello	pastello	33.642452239990234
pennello	scimmia	51.4686393737793
pennello	cane	7.438260078430176
pennello	tigre	38.93636703491211
pennello	pettine	55.174888610839844
pennello	camicia	46.59632873535156
pennello	gabbiano	46.79584884643555
pennello	tenda	32.36580276489258
pennello	letto	4.459282875061035
pennello	passero	30.11202621459961
pennello	mucca	31.47218132019043
pennello	gufo	29.62895965576172
pennello	poltrona	63.61940002441406
pennello	elefante	60.60728073120117
pennello	scopa	35.297691345214844
pennello	quaderno	30.600557327270508
pennello	vaso	29.919340133666992
pennello	spada	31.72418212890625
pennello	orso	25.00064468383789
pennello	maiale	28.697063446044922
pennello	gatto	27.67689323425293
pennello	penna	26.271560668945312
pennello	armadio	36.691307067871094
pennello	coniglio	45.494712829589844
pennello	giacca	47.02978515625
topo	gomma	44.23569869995117
topo	sedia	25.766782760620117
topo	pennello	27.977252960205078
topo	cavallo	31.82512664794922
topo	leone	25.12306022644043
topo	serpente	55.8228645324707
topo	pastello	28.43450927734375
topo	scimmia	47.884525299072266
topo	cane	8.660411834716797
topo	tigre	39.89872360229492
topo	pettine	56.72211837768555
topo	camicia	50.00837326049805
topo	gabbiano	48.986202239990234
topo	tenda	29.279062271118164
topo	letto	4.836369037628174
topo	passero	28.190929412841797
topo	mucca	30.12449073791504
topo	gufo	27.678653717041016
topo	poltrona	61.78004837036133
topo	elefante	56.288639068603516
topo	scopa	32.37700271606445
topo	quaderno	31.847457885742188
topo	vaso	26.50312614440918
topo	spada	28.31143569946289
topo	orso	28.897113800048828
topo	maiale	32.39888000488281
topo	gatto	30.602920532226562
topo	penna	32.03903579711914
topo	armadio	36.53601837158203
topo	coniglio	46.25528335571289
topo	giacca	42.473907470703125
cavallo	gomma	42.44956970214844
cavallo	sedia	32.700382232666016
cavallo	pennello	28.32493019104004
cavallo	topo	10.805822372436523
cavallo	leone	29.00971794128418
cavallo	serpente	63.95012283325195
cavallo	pastello	29.56106185913086
cavallo	scimmia	63.841209411621094
cavallo	cane	8.168161392211914
cavallo	tigre	50.14333724975586
cavallo	pettine	54.40205001831055
cavallo	camicia	48.79290771484375
cavallo	gabbiano	48.86307144165039
cavallo	tenda	33.76814270019531
cavallo	letto	4.206233501434326
cavallo	passero	32.1442985534668
cavallo	mucca	33.173927307128906
cavallo	gufo	30.440542221069336
cavallo	poltrona	63.62151336669922
cavallo	elefante	67.27933502197266
cavallo	scopa	39.1660041809082
cavallo	quaderno	30.0925235748291
cavallo	vaso	27.53189468383789
cavallo	spada	38.723899841308594
cavallo	orso	27.303876876831055
cavallo	maiale	32.3667106628418
cavallo	gatto	27.28301239013672
cavallo	penna	34.1597785949707
cavallo	armadio	36.66447830200195
cavallo	coniglio	48.9448127746582
cavallo	giacca	43.543434143066406
leone	gomma	46.059234619140625
leone	sedia	30.644269943237305
leone	pennello	28.63927459716797
leone	topo	11.747397422790527
leone	cavallo	33.12351608276367
leone	serpente	66.14203643798828
leone	pastello	32.29484939575195
leone	scimmia	56.656166076660156
leone	cane	7.192713260650635
leone	tigre	42.3217887878418
leone	pettine	50.31342697143555
leone	camicia	44.927581787109375
leone	gabbiano	52.44658660888672
leone	tenda	32.0650749206543
leone	letto	3.971297264099121
leone	passero	28.883037567138672
leone	mucca	33.25566482543945
leone	gufo	29.7038631439209
leone	poltrona	63.54153823852539
leone	elefante	61.620994567871094
leone	scopa	36.47012710571289
leone	quaderno	34.730979919433594
leone	vaso	24.309053421020508
leone	spada	35.83296585083008
leone	orso	25.00190544128418
leone	maiale	30.144935607910156
leone	gatto	29.02330780029297
leone	penna	32.105960845947266
leone	armadio	36.13693618774414
leone	coniglio	44.30704879760742
leone	giacca	51.250308990478516
serpente	gomma	43.55708694458008
serpente	sedia	30.10895538330078
serpente	pennello	35.74562454223633
serpente	topo	8.3656005859375
serpente	cavallo	34.8381233215332
serpente	leone	26.34345054626465
serpente	pastello	33.148033142089844
serpente	scimmia	59.17011642456055
serpente	cane	8.109960556030273
serpente	tigre	43.60885238647461
serpente	pettine	60.42551803588867
serpente	camicia	53.67181396484375
serpente	gabbiano	55.035560607910156
serpente	tenda	33.85987091064453
serpente	letto	4.629218578338623
serpente	passero	30.9494686126709
serpente	mucca	31.071245193481445
serpente	gufo	30.04279899597168
serpente	poltrona	63.24995040893555
serpente	elefante	63.35231018066406
serpente	scopa	37.231929779052734
serpente	quaderno	39.050960540771484
serpente	vaso	30.519868850708008
serpente	spada	33.557655334472656
serpente	orso	25.26476287841797
serpente	maiale	32.243228912353516
serpente	gatto	30.986427307128906
serpente	penna	35.891056060791016
serpente	armadio	39.39173889160156
serpente	coniglio	49.219390869140625
serpente	giacca	39.202884674072266
pastello	gomma	44.9051628112793
pastello	sedia	33.3831672668457
pastello	pennello	28.2757625579834
pastello	topo	10.845748901367188
pastello	cavallo	33.235435485839844
pastello	leone	27.01915740966797
pastello	serpente	70.632080078125
pastello	scimmia	61.64826965332031
pastello	cane	9.325321197509766
pastello	tigre	43.458641052246094
pastello	pettine	58.83412551879883
pastello	camicia	50.99324035644531
pastello	gabbiano	49.75719451904297
pastello	tenda	33.319664001464844
pastello	letto	5.138935089111328
pastello	passero	30.779626846313477
pastello	mucca	32.6347770690918
pastello	gufo	31.989824295043945
pastello	poltrona	63.50773239135742
pastello	elefante	65.69174194335938
pastello	scopa	40.522865295410156
pastello	quaderno	36.64133834838867
pastello	vaso	32.29655075073242
pastello	spada	34.34264373779297
pastello	orso	26.70989990234375
pastello	maiale	30.878252029418945
pastello	gatto	27.605724334716797
pastello	penna	36.45927047729492
pastello	armadio	37.50742721557617
pastello	coniglio	49.71780776977539
pastello	giacca	44.700130462646484
scimmia	gomma	41.73273468017578
scimmia	sedia	32.45364761352539
scimmia	pennello	30.01938247680664
scimmia	topo	10.832135200500488
scimmia	cavallo	33.7740592956543
scimmia	leone	25.495176315307617
scimmia	serpente	67.80028533935547
scimmia	pastello	30.7699031829834
scimmia	cane	5.937049388885498
scimmia	tigre	40.3746452331543
scimmia	pettine	56.70851516723633
scimmia	camicia	46.62958908081055
scimmia	gabbiano	49.7630615234375
scimmia	tenda	31.527875900268555
scimmia	letto	5.001171588897705
scimmia	passero	30.57308006286621
scimmia	mucca	30.79165267944336
scimmia	gufo	27.98253059387207
scimmia	poltrona	67.13896942138672
scimmia	elefante	66.95835876464844
scimmia	scopa	36.677616119384766
scimmia	quaderno	33.87240219116211
scimmia	vaso	27.87533187866211
scimmia	spada	30.18548011779785
scimmia	orso	25.321170806884766
scimmia	maiale	29.883596420288086
scimmia	gatto	27.73487663269043
scimmia	penna	34.03605270385742
scimmia	armadio	37.298274993896484
scimmia	coniglio	46.137420654296875
scimmia	giacca	41.355918884277344
cane	gomma	48.05215072631836
cane	sedia	31.176462173461914
cane	pennello	30.225271224975586
cane	topo	10.628616333007812
cane	cavallo	41.67292022705078
cane	leone	28.23733901977539
cane	serpente	68.84095764160156
cane	pastello	39.8717155456543
cane	scimmia	57.343162536621094
cane	tigre	45.5571174621582
cane	pettine	57.03828811645508
cane	camicia	46.1097412109375
cane	gabbiano	50.52427291870117
cane	tenda	30.602394104003906
cane	letto	4.739982604980469
cane	passero	26.846614837646484
cane	mucca	26.513248443603516
cane	gufo	30.024415969848633
cane	poltrona	70.1070785522461
cane	elefante	62.14495849609375
cane	scopa	42.50221252441406
cane	quaderno	31.394359588623047
cane	vaso	26.630130767822266
cane	spada	29.080991744995117
cane	orso	27.154788970947266
cane	maiale	30.33648681640625
cane	gatto	29.986778259277344
cane	penna	32.61704635620117
cane	armadio	36.07284164428711
cane	coniglio	45.38664627075195
cane	giacca	41.94658660888672
tigre	gomma	43.73793029785156
tigre	sedia	27.513473510742188
tigre	pennello	31.592174530029297
tigre	topo	9.638021469116211
tigre	cavallo	33.98237991333008
tigre	leone	24.68402099609375
tigre	serpente	62.778202056884766
tigre	pastello	33.62360763549805
tigre	scimmia	54.466312408447266
tigre	cane	6.369388580322266
tigre	pettine	54.3999137878418
tigre	camicia	49.0364875793457
tigre	gabbiano	51.34105682373047
tigre	tenda	29.813297271728516
tigre	letto	4.617618560791016
tigre	passero	29.23467254638672
tigre	mucca	35.720760345458984
tigre	gufo	31.7900447845459
tigre	poltrona	63.55811309814453
tigre	elefante	64.18870544433594
tigre	scopa	31.543350219726562
tigre	quaderno	31.49332046508789
tigre	vaso	27.088443756103516
tigre	spada	31.028766632080078
tigre	orso	26.215513229370117
tigre	maiale	32.83415985107422
tigre	gatto	30.34699249267578
tigre	penna	32.40496063232422
tigre	armadio	39.58151626586914
tigre	coniglio	45.970115661621094
tigre	giacca	41.577091217041016
pettine	gomma	47.73999786376953
pettine	sedia	33.285709381103516
pettine	pennello	33.125675201416016
pettine	topo	11.157678604125977
pettine	cavallo	38.05862045288086
pettine	leone	26.72821044921875
pettine	serpente	68.0805435180664
pettine	pastello	31.224716186523438
pettine	scimmia	59.46302795410156
pettine	cane	6.865835666656494
pettine	tigre	42.74372100830078
pettine	camicia	56.350650787353516
pettine	gabbiano	52.95315933227539
pettine	tenda	37.24742889404297
pettine	letto	4.956439018249512
pettine	passero	36.046104431152344
pettine	mucca	33.98171615600586
pettine	gufo	35.016883850097656
pettine	poltrona	65.71009826660156
pettine	elefante	67.09569549560547
pettine	scopa	40.82066345214844
pettine	quaderno	34.73590087890625
pettine	vaso	29.45868682861328
pettine	spada	34.86252212524414
pettine	orso	27.823341369628906
pettine	maiale	33.188236236572266
pettine	gatto	29.819141387939453
pettine	penna	35.514644622802734
pettine	armadio	39.15131759643555
pettine	coniglio	50.95173645019531
pettine	giacca	47.98383712768555
camicia	gomma	49.58710861206055
camicia	sedia	32.43198776245117
camicia	pennello	32.910858154296875
camicia	topo	13.297348022460938
camicia	cavallo	37.85752487182617
camicia	leone	26.37580680847168
camicia	serpente	71.1907958984375
camicia	pastello	35.97024154663086
camicia	scimmia	65.74866485595703
camicia	cane	9.629129409790039
camicia	tigre	43.83246994018555
camicia	pettine	61.111427307128906
camicia	gabbiano	56.17997741699219
camicia	tenda	35.12639236450195
camicia	letto	7.45011568069458
camicia	passero	31.388593673706055
camicia	mucca	29.43684196472168
camicia	gufo	34.78609848022461
camicia	poltrona	57.030914306640625
camicia	elefante	67.60792541503906
camicia	scopa	41.9144287109375
camicia	quaderno	34.82378387451172
camicia	vaso	29.010337829589844
camicia	spada	34.703819274902344
camicia	orso	28.63167381286621
camicia	maiale	32.479732513427734
camicia	gatto	32.84212875366211
camicia	penna	32.716819763183594
camicia	armadio	38.20475769042969
camicia	coniglio	53.866886138916016
camicia	giacca	46.69797134399414
gabbiano	gomma	44.554344177246094
gabbiano	sedia	33.89621353149414
gabbiano	pennello	28.697961807250977
gabbiano	topo	10.678690910339355
gabbiano	cavallo	34.36235046386719
gabbiano	leone	24.56378746032715
gabbiano	serpente	67.95201873779297
gabbiano	pastello	27.141921997070312
gabbiano	scimmia	57.319488525390625
gabbiano	cane	9.052736282348633
gabbiano	tigre	49.01027297973633
gabbiano	pettine	57.81437683105469
gabbiano	camicia	49.91499328613281
gabbiano	tenda	31.80516815185547
gabbiano	letto	4.72819185256958
gabbiano	passero	30.516645431518555
gabbiano	mucca	31.157455444335938
gabbiano	gufo	27.156232833862305
gabbiano	poltrona	62.74716567993164
gabbiano	elefante	68.68385314941406
gabbiano	scopa	37.3197021484375
gabbiano	quaderno	34.08748245239258
gabbiano	vaso	33.30658721923828
gabbiano	spada	38.325225830078125
gabbiano	orso	20.901945114135742
gabbiano	maiale	32.002567291259766
gabbiano	gatto	29.681486129760742
gabbiano	penna	31.470985412597656
gabbiano	armadio	39.46061325073242
gabbiano	coniglio	47.2614860534668
gabbiano	giacca	48.60445785522461
tenda	gomma	43.35453414916992
tenda	sedia	31.815818786621094
tenda	pennello	32.63530731201172
tenda	topo	10.304254531860352
tenda	cavallo	31.223735809326172
tenda	leone	31.39238166809082
tenda	serpente	62.366981506347656
tenda	pastello	31.447834014892578
tenda	scimmia	51.56488037109375
tenda	cane	8.290422439575195
tenda	tigre	42.59965896606445
tenda	pettine	54.45078659057617
tenda	camicia	49.90524673461914
tenda	gabbiano	49.13211441040039
tenda	letto	4.782438278198242
tenda	passero	33.81028747558594
tenda	mucca	30.80182647705078
tenda	gufo	27.685867309570312
